Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/uae-labour-law-guide-expats/,/uae-labour-law/,301,Yes,Yes,No
/uae-labour-law-working-hours/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/overtime-calculation-uae/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/uae-overtime-law-calculation-2026/,/uae-labour-law/working-hours-overtime/,301,Yes,Yes,No
/uae-annual-leave-law-2026/,/uae-labour-law/annual-leave-entitlement/,301,Yes,Yes,No
/uae-annual-leave-entitlement-law-vs-employer-practices/,/uae-labour-law/annual-leave-entitlement/,301,Yes,Yes,No
/sick-leave-uae/,/uae-labour-law/sick-leave-rules/,301,Yes,Yes,No
/maternity-leave-uae-2026/,/uae-labour-law/maternity-paternity-leave/,301,Yes,Yes,No
/uae-termination-law-compensation-2026/,/uae-labour-law/termination-rules/,301,Yes,Yes,No
/uae-labour-law-notice-period-2026/,/uae-labour-law/termination-rules/,301,Yes,Yes,No
/uae-probation-period-2026/,/uae-labour-law/contract-types-explained/,301,Yes,Yes,No
/uae-probation-period-labour-law-2026/,/uae-labour-law/contract-types-explained/,301,Yes,Yes,No
