Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/saudi-vision-2030-jobs-what-nobody-in-hr-will-tell-you/,/working-in-saudi-arabia/,301,Yes,Yes,No
/riyadh-metro-careers/,/working-in-saudi-arabia/,301,Yes,Yes,No
/saudization-nitaqat-explained/,/working-in-saudi-arabia/saudisation/,301,Yes,Yes,No
/saudi-arabia-employment-visa/,/working-in-saudi-arabia/work-visa/,301,Yes,Yes,No
/how-many-types-of-visa-in-saudi-arabia/,/working-in-saudi-arabia/work-visa/,301,Yes,Yes,No
/saudi-arabia-hr-manager-salary-2026/,/working-in-saudi-arabia/salaries/,301,Yes,Yes,No
/uae-vs-saudi-arabia-internship-gcc-graduates/,/working-in-saudi-arabia/culture-and-relocation/,301,Yes,Yes,No
/what-to-bring-to-saudi-arabia/,/working-in-saudi-arabia/culture-and-relocation/,301,Yes,Yes,No
