Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/how-early-should-you-arrive-for-a-job-interview/,/gcc-interview-answers/,301,Yes,Yes,No
/how-to-decline-an-interview-after-accepting-another-job/,/gcc-interview-answers/,301,Yes,Yes,No
/what-to-eat-before-job-interview-smart-fuel-to-perform-with-confidence/,/gcc-interview-answers/,301,Yes,Yes,No
/what-to-wear-to-a-hotel-job-interview/,/gcc-interview-answers/,301,Yes,Yes,No
/do-you-ask-about-benefits-in-a-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/how-to-provide-references-for-a-job-interview/,/gcc-interview-answers/,301,Yes,Yes,No
/hospitality-career-path/,/gcc-recruitment-guide/internships/hospitality/,301,Yes,Yes,No
/rta-theory-test-questions-and-answers-pdf/,/,301,Yes,Yes,No
