Source URL,Target URL,Redirect Type,Ignore Slash,Ignore Case,Regex
/can-you-tell-me-about-yourself-job-interview/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-to-answer-tell-me-about-yourself/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-to-answer-tell-me-about-yourself-for-job-interview/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-to-answer-tell-me-about-yourself-in-job-interview/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-to-answer-job-interview-question-tell-me-about-yourself/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/evaluate-tell-me-about-yourself-dubai/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-do-you-introduce-yourself-in-a-job-interview/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-do-you-introduce-yourself-in-a-job-interview-examples/,/gcc-interview-answers/tell-me-about-yourself/,301,Yes,Yes,No
/how-much-is-your-expected-salary-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/how-to-answer-job-interview-questions-about-salary-expectations/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/how-to-answer-salary-expectation-in-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/how-to-answer-salary-expectations-in-a-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/how-to-answer-salary-expectations-in-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/what-is-your-expected-salary-job-interview-answer/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/can-you-ask-about-salary-at-a-job-interview/,/gcc-interview-answers/expected-salary/,301,Yes,Yes,No
/answering-why-you-left-previous-job-interview-questions/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/answering-why-you-left-your-job-interview-questions/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/can-an-interviewer-ask-why-you-left-your-last-job/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/how-to-answer-interview-question-why-leaving-current-job/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/how-to-answer-why-leave-current-job-interview-question/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/what-to-say-in-interview-why-leaving-current-job/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/what-to-say-in-interview-why-you-left-last-job/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/why-leave-your-current-job-interview-question/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/why-leaving-job-interview-question-what-to-say/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/why-you-left-the-job-interview-questions/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/why-you-left-your-previous-job-interview-questions/,/gcc-interview-answers/why-leave-your-job/,301,Yes,Yes,No
/a-good-weakness-to-say-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/a-list-of-weaknesses-for-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/a-positive-weakness-for-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/a-weakness-to-say-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-do-you-answer-weakness-question-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-do-you-answer-weaknesses-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-many-weaknesses-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-address-weaknesses-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-biggest-weakness-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-greatest-weakness-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-job-interview-question-what-are-your-weaknesses/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-job-interview-question-what-is-your-weakness/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-job-interview-questions-about-strengths-and-weaknesses/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-job-interview-questions-strengths-and-weaknesses/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-my-weakness-in-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-strengths-and-weaknesses-in-a-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-strengths-and-weaknesses-in-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-weakness-question-in-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-weakness-question-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
/how-to-answer-what-are-your-weaknesses-in-job-interview/,/gcc-interview-answers/greatest-weakness/,301,Yes,Yes,No
